GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Oversigt Core,com.hlag.oversigt.security,LdapAuthenticator,414,0,18,0,99,0,21,0,12,0
Oversigt Core,com.hlag.oversigt.security,RoleProvider,97,0,4,0,24,0,6,0,4,0
Oversigt Core,com.hlag.oversigt.security,OversigtIdentityManager,32,0,2,0,9,0,5,0,4,0
Oversigt Core,com.hlag.oversigt.security,MapAuthenticator,91,0,6,0,20,0,11,0,8,0
Oversigt Core,com.hlag.oversigt.security,Roles,97,0,6,0,16,0,9,0,6,0
Oversigt Core,com.hlag.oversigt.security,Role,146,0,4,0,25,0,14,0,12,0
Oversigt Core,com.hlag.oversigt.security,Principal,187,0,13,0,43,0,22,0,15,0
Oversigt Core,com.hlag.oversigt.security,OversigtIdentityManager.OversigtAccount,19,0,0,0,5,0,3,0,3,0
Oversigt Core,com.hlag.oversigt.security,Authenticator.NoAuthenticator,11,0,0,0,7,0,6,0,6,0
Oversigt Core,com.hlag.oversigt.util,TypeUtils,1180,18,146,0,218,4,132,3,59,3
Oversigt Core,com.hlag.oversigt.util,ClassRenameDetector,287,0,20,0,54,0,22,0,12,0
Oversigt Core,com.hlag.oversigt.util,TypeUtils.ReturnValue,34,0,0,0,8,0,5,0,5,0
Oversigt Core,com.hlag.oversigt.util,SimpleReadWriteLock,33,0,0,0,10,0,3,0,3,0
Oversigt Core,com.hlag.oversigt.util,TypeUtils.SerializablePropertyMember.Type,93,0,14,0,15,0,9,0,2,0
Oversigt Core,com.hlag.oversigt.util,TypeUtils.SerializablePropertyMember,261,0,16,0,54,0,25,0,17,0
Oversigt Core,com.hlag.oversigt.util,MailSender.new Authenticator() {...},28,0,4,0,4,0,4,0,2,0
Oversigt Core,com.hlag.oversigt.util,HttpUtils,279,0,32,0,46,0,23,0,7,0
Oversigt Core,com.hlag.oversigt.util,StringUtils,33,0,4,0,8,0,4,0,2,0
Oversigt Core,com.hlag.oversigt.util,ClassPathResourceManager,81,0,6,0,21,0,11,0,8,0
Oversigt Core,com.hlag.oversigt.util,TypeUtils.new StdSerializer() {...},10,7,0,0,2,1,1,1,1,1
Oversigt Core,com.hlag.oversigt.util,TypeUtils.new StdDeserializer() {...},8,7,0,0,1,1,1,1,1,1
Oversigt Core,com.hlag.oversigt.util,TypeUtils.ClassProxy,38,0,0,0,9,0,4,0,4,0
Oversigt Core,com.hlag.oversigt.util,Utils,464,50,38,4,89,11,61,3,41,2
Oversigt Core,com.hlag.oversigt.util,ClassRenameDetector.KeyDistance,15,0,0,0,6,0,3,0,3,0
Oversigt Core,com.hlag.oversigt.util,TypeUtils.IndexOfComparator,18,0,0,0,4,0,2,0,2,0
